,id,Doc,Target,Original_Value,Attached_Value,Type,Annotator,DOI
57,57,Barrier and mechanical properties of carrot puree films,component_qty_value,"(['0'], '')",['gelatin'],ADDIMENTIONNAL,1,https://doi.org/10.1016/j.fbp.2010.03.012
58,58,Barrier and mechanical properties of carrot puree films,component_qty_value,"(['0.1'], ['%'])",['gelatin'],ADDIMENTIONNAL,1,https://doi.org/10.1016/j.fbp.2010.03.012
59,59,Barrier and mechanical properties of carrot puree films,component_qty_value,"(['0.2'], ['%'])",['gelatin'],ADDIMENTIONNAL,1,https://doi.org/10.1016/j.fbp.2010.03.012
60,60,Barrier and mechanical properties of carrot puree films,component_qty_value,"(['0.4'], ['%'])",['gelatin'],ADDIMENTIONNAL,1,https://doi.org/10.1016/j.fbp.2010.03.012
61,61,Barrier and mechanical properties of carrot puree films,component_qty_value,"(['1.26'], ['%'])",['glycerol'],ADDIMENTIONNAL,1,https://doi.org/10.1016/j.fbp.2010.03.012
62,62,Barrier and mechanical properties of carrot puree films,component_qty_value,"(['2.52'], ['%'])",['glycerol'],ADDIMENTIONNAL,1,https://doi.org/10.1016/j.fbp.2010.03.012
63,63,Barrier and mechanical properties of carrot puree films,component_qty_value,"(['5.04'], ['%'])",['glycerol'],ADDIMENTIONNAL,1,https://doi.org/10.1016/j.fbp.2010.03.012
64,64,Barrier and mechanical properties of carrot puree films,component_qty_value,"(['6.30'], ['%'])",['glycerol'],ADDIMENTIONNAL,1,https://doi.org/10.1016/j.fbp.2010.03.012
65,65,Barrier and mechanical properties of carrot puree films,component_qty_value,"(['0'], ['%'])",['gelatin'],ADDIMENTIONNAL,1,https://doi.org/10.1016/j.fbp.2010.03.012
66,66,Barrier and surface properties of chitosan-coated greaseproof paper,component_qty_value,"(['5.2'], ['g', '/', 'm', '^', '2'])",['chitosan'],ADDIMENTIONNAL,1,https://doi.org/10.1016/j.carbpol.2006.02.005
67,67,Barrier and surface properties of chitosan-coated greaseproof paper,component_qty_value,"(['2.4'], ['g', '/', 'm', '^', '2'])",['chitosan'],ADDIMENTIONNAL,1,https://doi.org/10.1016/j.carbpol.2006.02.005
68,68,Barrier properties of chitosan coated polyethylene,component_qty_value,"(['30'], ['%'])",['glycerol'],ADDIMENTIONNAL,1,https://doi.org/10.1016/j.memsci.2012.02.037
69,69,Barrier properties of chitosan coated polyethylene,component_qty_value,"(['0'], ['%'])",['glycerol'],ADDIMENTIONNAL,1,https://doi.org/10.1016/j.memsci.2012.02.037
70,70,Barrier properties of model epoxy nanocomposites,component_qty_value,"(['100'], ['ca', '.'])","['ZrP', '-', '100']",ADDIMENTIONNAL,1,https://doi.org/10.1016/j.memsci.2008.02.041
71,71,Barrier properties of model epoxy nanocomposites,component_qty_value,"(['1000'], ['ca', '.'])","['ZrP', '-', '1000']",ADDIMENTIONNAL,1,https://doi.org/10.1016/j.memsci.2008.02.041
72,72,Barrier properties of model epoxy nanocomposites,component_qty_value,"(['0.7'], ['vol', '%'])",['ZrP'],ADDIMENTIONNAL,1,https://doi.org/10.1016/j.memsci.2008.02.041
73,73,Barrier properties of model epoxy nanocomposites,component_qty_value,"(['2.0'], ['vol', '%'])","['poorly', 'exfoliated', 'ZrP', 'nanoplatelets']",ADDIMENTIONNAL,1,https://doi.org/10.1016/j.memsci.2008.02.041
74,74,Barrier properties of nylon 6-montmorillonite nanocomposite membranes prepared by melt blending Influence of the clay content and dispersion state Consequences on modelling,component_qty_value,"(['18'], ['wt', '.', '%'])",['clay'],ADDIMENTIONNAL,1,https://doi.org/10.1016/j.memsci.2007.01.030
75,75,Barrier properties of nylon 6-montmorillonite nanocomposite membranes prepared by melt blending Influence of the clay content and dispersion state Consequences on modelling,component_qty_value,"(['0'], ['wt', '.', '%'])",['clay'],ADDIMENTIONNAL,1,https://doi.org/10.1016/j.memsci.2007.01.030
76,76,Barrier properties of nylon 6-montmorillonite nanocomposite membranes prepared by melt blending Influence of the clay content and dispersion state Consequences on modelling,component_qty_value,"(['8'], ['wt', '.', '%'])",['OMMT'],ADDIMENTIONNAL,1,https://doi.org/10.1016/j.memsci.2007.01.030
77,77,Blown films of nanocomposites prepared from low density polyethylene and a sodium ionomer of poly(ethylene-co-methacrylic acid),component_qty_value,"(['3'], ['wt', '%'])",['MMT'],ADDIMENTIONNAL,1,https://doi.org/10.1016/j.polymer.2006.06.051
78,78,Blown films of nanocomposites prepared from low density polyethylene and a sodium ionomer of poly(ethylene-co-methacrylic acid),component_qty_value,"(['1'], ['wt', '%'])",['MMT'],ADDIMENTIONNAL,1,https://doi.org/10.1016/j.polymer.2006.06.051
79,79,Blown films of nanocomposites prepared from low density polyethylene and a sodium ionomer of poly(ethylene-co-methacrylic acid),component_qty_value,"(['1'], '')",['montmorillonite'],ADDIMENTIONNAL,1,https://doi.org/10.1016/j.polymer.2006.06.051
80,80,Blown films of nanocomposites prepared from low density polyethylene and a sodium ionomer of poly(ethylene-co-methacrylic acid),component_qty_value,"(['2'], '')",['BUR'],ADDIMENTIONNAL,1,https://doi.org/10.1016/j.polymer.2006.06.051
81,81,Blown films of nanocomposites prepared from low density polyethylene and a sodium ionomer of poly(ethylene-co-methacrylic acid),component_qty_value,"(['3'], '')",['BUR'],ADDIMENTIONNAL,1,https://doi.org/10.1016/j.polymer.2006.06.051
82,82,"Cellulose nanobiocomposites with reinforcement of boron nitride  Study of thermal, oxygen barrier and chemical resistant properties",component_qty_value,"(['10'], ['wt', '%'])","['boron', 'nitride']",ADDIMENTIONNAL,1,https://doi.org/10.1016/j.carbpol.2013.02.080
83,83,"Cellulose nanobiocomposites with reinforcement of boron nitride  Study of thermal, oxygen barrier and chemical resistant properties",component_qty_value,"(['8'], ['wt', '%'])","['boron', 'nitride']",ADDIMENTIONNAL,1,https://doi.org/10.1016/j.carbpol.2013.02.080
84,84,"Cellulose nanobiocomposites with reinforcement of boron nitride  Study of thermal, oxygen barrier and chemical resistant properties",component_qty_value,"(['5'], ['wt', '%'])","['boron', 'nitride']",ADDIMENTIONNAL,1,https://doi.org/10.1016/j.carbpol.2013.02.080
85,85,"Cellulose nanobiocomposites with reinforcement of boron nitride  Study of thermal, oxygen barrier and chemical resistant properties",component_qty_value,"(['2'], ['wt', '%'])","['boron', 'nitride']",ADDIMENTIONNAL,1,https://doi.org/10.1016/j.carbpol.2013.02.080
86,86,"Cellulose nanobiocomposites with reinforcement of boron nitride  Study of thermal, oxygen barrier and chemical resistant properties",component_qty_value,"(['1'], ['wt', '%'])","['boron', 'nitride']",ADDIMENTIONNAL,1,https://doi.org/10.1016/j.carbpol.2013.02.080
87,87,"Cellulose nanobiocomposites with reinforcement of boron nitride  Study of thermal, oxygen barrier and chemical resistant properties",component_qty_value,"(['0'], ['wt', '%'])","['boron', 'nitride']",ADDIMENTIONNAL,1,https://doi.org/10.1016/j.carbpol.2013.02.080
88,88,Combined effects of cellulose nanocrystals and silver nanoparticles on the barrier and migration properties of PLA nano-biocomposites,component_qty_value,"(['1'], ['wt', '%'])","['unmodified', 'CNC']",ADDIMENTIONNAL,1,https://doi.org/10.1016/j.jfoodeng.2013.03.025
89,89,Combined effects of cellulose nanocrystals and silver nanoparticles on the barrier and migration properties of PLA nano-biocomposites,component_qty_value,"(['5'], ['wt', '%'])","['unmodified', 'CNC']",ADDIMENTIONNAL,1,https://doi.org/10.1016/j.jfoodeng.2013.03.025
90,90,"Dispersion of SiC nanoparticles in cellulose for study of tensile, thermal and oxygen barrier properties",component_qty_value,"(['10'], ['wt', '%'])","['silicon', 'carbide']",ADDIMENTIONNAL,1,https://doi.org/10.1016/j.carbpol.2013.08.035
91,91,"Dispersion of SiC nanoparticles in cellulose for study of tensile, thermal and oxygen barrier properties",component_qty_value,"(['8'], ['wt', '%'])","['silicon', 'carbide']",ADDIMENTIONNAL,1,https://doi.org/10.1016/j.carbpol.2013.08.035
92,92,"Dispersion of SiC nanoparticles in cellulose for study of tensile, thermal and oxygen barrier properties",component_qty_value,"(['5'], ['wt', '%'])","['silicon', 'carbide']",ADDIMENTIONNAL,1,https://doi.org/10.1016/j.carbpol.2013.08.035
93,93,"Dispersion of SiC nanoparticles in cellulose for study of tensile, thermal and oxygen barrier properties",component_qty_value,"(['4'], ['wt', '%'])","['silicon', 'carbide']",ADDIMENTIONNAL,1,https://doi.org/10.1016/j.carbpol.2013.08.035
94,94,"Dispersion of SiC nanoparticles in cellulose for study of tensile, thermal and oxygen barrier properties",component_qty_value,"(['3'], ['wt', '%'])","['silicon', 'carbide']",ADDIMENTIONNAL,1,https://doi.org/10.1016/j.carbpol.2013.08.035
95,95,"Dispersion of SiC nanoparticles in cellulose for study of tensile, thermal and oxygen barrier properties",component_qty_value,"(['2'], ['wt', '%'])","['silicon', 'carbide']",ADDIMENTIONNAL,1,https://doi.org/10.1016/j.carbpol.2013.08.035
96,96,"Dispersion of SiC nanoparticles in cellulose for study of tensile, thermal and oxygen barrier properties",component_qty_value,"(['1'], ['wt', '%'])","['silicon', 'carbide']",ADDIMENTIONNAL,1,https://doi.org/10.1016/j.carbpol.2013.08.035
97,97,"Dispersion of SiC nanoparticles in cellulose for study of tensile, thermal and oxygen barrier properties",component_qty_value,"(['10'], ['%'])","['silicon', 'carbide']",ADDIMENTIONNAL,1,https://doi.org/10.1016/j.carbpol.2013.08.035
98,98,"Dispersion of SiC nanoparticles in cellulose for study of tensile, thermal and oxygen barrier properties",component_qty_value,"(['8'], ['%'])","['silicon', 'carbide']",ADDIMENTIONNAL,1,https://doi.org/10.1016/j.carbpol.2013.08.035
99,99,Edible oxygen barrier bilayer film pouches from corn zein and soy protein isolate for olive oil packaging,component_qty_value,"(['5.0'], ['g'])",['SPI'],ADDIMENTIONNAL,1,https://doi.org/10.1016/j.lwt.2010.03.014
100,100,Edible oxygen barrier bilayer film pouches from corn zein and soy protein isolate for olive oil packaging,component_qty_value,"(['1.25'], ['g'])",['glycerol'],ADDIMENTIONNAL,1,https://doi.org/10.1016/j.lwt.2010.03.014
101,101,Edible oxygen barrier bilayer film pouches from corn zein and soy protein isolate for olive oil packaging,component_qty_value,"(['100'], ['mL'])","['distilled', 'water']",ADDIMENTIONNAL,1,https://doi.org/10.1016/j.lwt.2010.03.014
102,102,Edible oxygen barrier bilayer film pouches from corn zein and soy protein isolate for olive oil packaging,component_qty_value,"(['2'], ['g'])",['CZ'],ADDIMENTIONNAL,1,https://doi.org/10.1016/j.lwt.2010.03.014
103,103,Edible oxygen barrier bilayer film pouches from corn zein and soy protein isolate for olive oil packaging,component_qty_value,"(['0.6'], ['g'])","['polyethylene', 'glycol']",ADDIMENTIONNAL,1,https://doi.org/10.1016/j.lwt.2010.03.014
104,104,Edible oxygen barrier bilayer film pouches from corn zein and soy protein isolate for olive oil packaging,component_qty_value,"(['30'], ['mL'])","['aqueous', 'ethanol']",ADDIMENTIONNAL,1,https://doi.org/10.1016/j.lwt.2010.03.014
105,105,Effect of an organo-modified montmorillonite on PLA crystallization and gas barrier properties,component_qty_value,"(['O-MMT'], '')","['organo-modified', 'montmorillonite']",ADDIMENTIONNAL,1,https://doi.org/10.1016/j.clay.2011.04.023
106,106,Effect of an organo-modified montmorillonite on PLA crystallization and gas barrier properties,component_qty_value,"(['8'], ['wt', '.', '%'])","['organo-modified', 'montmorillonite']",ADDIMENTIONNAL,1,https://doi.org/10.1016/j.clay.2011.04.023
107,107,Effect of an organo-modified montmorillonite on PLA crystallization and gas barrier properties,component_qty_value,"(['0'], ['wt', '.', '%'])","['organo-modified', 'montmorillonite']",ADDIMENTIONNAL,1,https://doi.org/10.1016/j.clay.2011.04.023
108,108,Effect of an organo-modified montmorillonite on PLA crystallization and gas barrier properties,component_qty_value,"(['7.9'], ['percents'])","['PLA', '/', 'OMMT', 'nanocomposites']",ADDIMENTIONNAL,1,https://doi.org/10.1016/j.clay.2011.04.023
109,109,Effect of an organo-modified montmorillonite on PLA crystallization and gas barrier properties,component_qty_value,"(['3.8'], ['percents'])","['PLA', '/', 'OMMT', 'nanocomposites']",ADDIMENTIONNAL,1,https://doi.org/10.1016/j.clay.2011.04.023
110,110,Effect of an organo-modified montmorillonite on PLA crystallization and gas barrier properties,component_qty_value,"(['3.7'], ['wt', '.', '%'])",['clay'],ADDIMENTIONNAL,1,https://doi.org/10.1016/j.clay.2011.04.023
111,111,Effect of an organo-modified montmorillonite on PLA crystallization and gas barrier properties,component_qty_value,"(['4'], ['wt', '.', '%'])",['montmorillonite'],ADDIMENTIONNAL,1,https://doi.org/10.1016/j.clay.2011.04.023
112,112,"Effect of clay content, homogenization RPM, pH, and ultrasonication on mechanical and barrier properties of fish gelatin montmorillonite nanocomposite films",component_qty_value,"(['5'], ['%'])",['nanoclay'],ADDIMENTIONNAL,1,https://doi.org/10.1016/j.lwt.2008.12.016
113,113,"Effect of clay content, homogenization RPM, pH, and ultrasonication on mechanical and barrier properties of fish gelatin montmorillonite nanocomposite films",component_qty_value,"(['9'], ['g'])",['clay'],ADDIMENTIONNAL,1,https://doi.org/10.1016/j.lwt.2008.12.016
114,114,"Effect of clay content, homogenization RPM, pH, and ultrasonication on mechanical and barrier properties of fish gelatin montmorillonite nanocomposite films",component_qty_value,"(['100'], ['g'])",['gelatin'],ADDIMENTIONNAL,1,https://doi.org/10.1016/j.lwt.2008.12.016
115,115,"Effect of clay content, homogenization RPM, pH, and ultrasonication on mechanical and barrier properties of fish gelatin montmorillonite nanocomposite films",component_qty_value,"(['10'], ['g'])",['glycerol'],ADDIMENTIONNAL,1,https://doi.org/10.1016/j.lwt.2008.12.016
116,116,"Effect of clay content, homogenization RPM, pH, and ultrasonication on mechanical and barrier properties of fish gelatin montmorillonite nanocomposite films",component_qty_value,"(['100'], ['mL'])","['degassed', ',', 'distilled', ',', 'and', 'deionized', 'water']",ADDIMENTIONNAL,1,https://doi.org/10.1016/j.lwt.2008.12.016
117,117,"Effect of clay content, homogenization RPM, pH, and ultrasonication on mechanical and barrier properties of fish gelatin montmorillonite nanocomposite films",component_qty_value,"(['20'], ['g'])",['glycerol'],ADDIMENTIONNAL,1,https://doi.org/10.1016/j.lwt.2008.12.016
